Probe ID,Infinium Design Type,Chromosome,Location (hg19),Strand,Gene Symbol,Effect,Std. Error,Z-value,P-value,FDR,Previously Seen,Small Molecule,Proportion of Effect Attenuation (compared to current vs. never smokers),Sign
cg15822222,II,15,"79,164,806",R,MORF4L1,-0.0026,0.0008,-3.37,0.0007,1.2E-02,0,0,44.1%,-----+--+--+-++-
cg26845138,II,5,"171,550,255",R,STK10,0.0014,0.0004,3.37,0.0008,1.2E-02,0,0,55.1%,+++-++++++-+++-+
cg25323554,II,17,"27,135,257",R,C17orf63,-0.0049,0.0015,-3.37,0.0008,1.2E-02,1,0,70.1%,--------++-++---
cg03660710,II,22,"50,631,079",R,TRABD,-0.0013,0.0004,-3.37,0.0008,1.2E-02,0,0,68.8%,--+---+-+----+--
cg26596307,II,16,"57,411,505",F,CX3CL1,-0.0021,0.0006,-3.37,0.0008,1.2E-02,1,0,64.3%,-----+---------+
cg19889780,II,2,"73,114,144",R,SPR,-0.0038,0.0011,-3.37,0.0008,1.2E-02,0,0,62.3%,---------+--+--+
cg16331492,II,2,"107,456,855",F,ST6GAL2,0.0029,0.0009,3.37,0.0008,1.2E-02,0,0,65.8%,++++???+-+++++-+
cg27332104,II,15,"52,386,161",R,,0.0032,0.0009,3.37,0.0008,1.2E-02,1,0,74.3%,+++++-+++++-++++
cg17144149,II,17,"46,656,572",F,HOXB4,-0.0037,0.0011,-3.37,0.0008,1.2E-02,0,0,73.6%,--------+----++-
cg00852675,I,7,"150,105,086",F,LOC728743,0.0018,0.0005,3.37,0.0008,1.2E-02,0,0,172.7%,+++-++-++++-++++
cg15929078,I,6,"33,267,996",R,TAPBP;RGL2,-0.0045,0.0013,-3.37,0.0008,1.2E-02,0,0,66.9%,--------?-------
cg11808699,II,15,"81,528,661",R,IL16,0.0031,0.0009,3.36,0.0008,1.2E-02,0,0,70.4%,++-++-+-+++++++-
cg08893087,II,1,"93,416,982",R,FAM69A,-0.0058,0.0017,-3.36,0.0008,1.2E-02,1,0,70.5%,---+-----+-++---
cg23646614,II,11,"48,083,100",F,PTPRJ,-0.0018,0.0005,-3.36,0.0008,1.2E-02,1,0,60.7%,---+--+-----+---
cg20853880,I,2,"10,184,444",R,KLF11,-0.0053,0.0016,-3.36,0.0008,1.2E-02,0,0,52.5%,--+-+------?----
cg06203720,II,1,"1,309,641",F,AURKAIP1,-0.0023,0.0007,-3.36,0.0008,1.2E-02,0,0,69.3%,---------+-?++--
cg13897348,II,1,"1,549,699",F,MIB2,-0.0038,0.0011,-3.36,0.0008,1.2E-02,0,0,61.5%,------+----?-+--
cg07538190,II,8,"22,458,182",F,C8orf58,-0.0027,0.0008,-3.36,0.0008,1.2E-02,0,0,62.7%,--+-----++--+++-
cg12549908,II,10,"4,230,567",R,,0.0036,0.0011,3.36,0.0008,1.2E-02,0,0,47.6%,+++-+++++-+-++-+
cg04637478,II,5,"140,753,655",R,PCDHGA4;PCDHGA1;PCDHGA6;PCDHGA5;PCDHGB1;PCDHGA3;PCDHGA2;PCDHGB2;PCDHGB3,-0.0035,0.0010,-3.36,0.0008,1.2E-02,0,0,26.7%,-------+-+-+--+-
cg22356324,II,10,"71,077,947",R,HK1,-0.0016,0.0005,-3.36,0.0008,1.2E-02,1,0,73.8%,---------+-+---+
cg01331992,II,9,"19,379,118",R,RPS6,-0.0071,0.0021,-3.36,0.0008,1.2E-02,1,0,63.2%,--------+--+----
cg04456238,II,11,"32,450,104",R,WT1,0.0041,0.0012,3.36,0.0008,1.2E-02,0,0,46.7%,+++-+-+-++++++-+
cg20589883,II,4,"111,115,135",R,ELOVL6,0.0028,0.0008,3.36,0.0008,1.2E-02,1,0,57.2%,+-+++++++++++++-
cg16274678,II,1,"154,127,952",R,TPM3;NUP210L,-0.0048,0.0014,-3.36,0.0008,1.2E-02,0,0,68.2%,---------+-++---
cg04517044,II,7,"150,946,998",R,SMARCD3,-0.0027,0.0008,-3.36,0.0008,1.2E-02,0,0,71.1%,---------------+
cg16624521,I,5,"172,064,552",F,,0.0038,0.0011,3.35,0.0008,1.2E-02,0,0,66.1%,++--+++++++-++++
cg08305533,II,22,"32,007,224",R,SFI1,0.0028,0.0008,3.35,0.0008,1.2E-02,1,0,80.9%,++--+-+++++-++++
cg01536956,I,6,"33,165,577",F,RXRB,-0.0029,0.0008,-3.35,0.0008,1.2E-02,1,0,71.5%,-++-----------+-
cg12276019,II,8,"11,057,947",R,XKR6,-0.0039,0.0012,-3.35,0.0008,1.2E-02,1,0,72.0%,-+---+--+----+--
cg13105904,II,14,"24,900,044",R,CBLN3;KHNYN,-0.0048,0.0014,-3.35,0.0008,1.2E-02,0,0,58.1%,---+--------+-+-
cg03222009,II,2,"129,077,232",R,HS6ST1,-0.0051,0.0015,-3.35,0.0008,1.2E-02,0,0,70.6%,--+------+-+--++
cg12516875,II,22,"46,463,543",R,,-0.0036,0.0011,-3.35,0.0008,1.2E-02,0,0,65.9%,---+---------+-+
cg03068497,II,7,"30,635,838",R,GARS,-0.0049,0.0015,-3.35,0.0008,1.2E-02,0,0,56.7%,-+--------------
cg17626960,II,6,"32,116,918",R,PRRT1,0.0040,0.0012,3.35,0.0008,1.2E-02,1,0,47.6%,++++-++++++++-++
cg05789250,II,6,"31,804,306",F,C6orf48;SNORD52,-0.0031,0.0009,-3.35,0.0008,1.2E-02,1,1,78.2%,-----+------++--
cg14550518,II,3,"21,792,938",R,ZNF385D,-0.0035,0.0010,-3.35,0.0008,1.2E-02,1,0,55.9%,-----+-----++---
cg06868100,II,7,"29,606,349",R,PRR15,-0.0069,0.0021,-3.35,0.0008,1.2E-02,1,0,70.4%,--+--------?+--+
cg12363682,II,5,"178,420,690",R,GRM6,0.0036,0.0011,3.35,0.0008,1.2E-02,0,0,61.9%,++-+?-+-++++?--+
cg26805405,II,11,"64,491,434",R,NRXN2,-0.0007,0.0002,-3.35,0.0008,1.2E-02,0,0,31.9%,---+----++--+---
cg04115307,I,14,"101,539,612",F,,-0.0052,0.0016,-3.35,0.0008,1.2E-02,0,0,63.4%,--+---------+--+
cg12828729,II,5,"134,823,969",R,,0.0040,0.0012,3.35,0.0008,1.2E-02,0,0,66.0%,++++++++++--++++
cg13385794,II,1,"248,469,461",R,,0.0043,0.0013,3.35,0.0008,1.2E-02,0,0,36.4%,-+-++--++++++-++
cg01060471,II,10,"103,911,733",F,NOLC1,-0.0029,0.0009,-3.35,0.0008,1.2E-02,0,0,42.1%,--+------+--+++-
cg27211408,II,7,"2,060,130",F,MAD1L1,-0.0036,0.0011,-3.35,0.0008,1.2E-02,1,0,52.0%,--+---+-----+---
cg01839898,II,4,"6,465,329",F,PPP2R2C,0.0030,0.0009,3.35,0.0008,1.2E-02,0,0,28.1%,++-++++++++?+++-
cg06830167,II,1,"7,600,135",F,CAMTA1,-0.0021,0.0006,-3.35,0.0008,1.2E-02,0,0,75.2%,-------+---+---+
cg01973695,II,11,"128,560,328",R,,-0.0041,0.0012,-3.35,0.0008,1.2E-02,0,0,65.3%,---+?---++------
cg16893174,II,17,"6,797,708",F,ALOX12P2,-0.0033,0.0010,-3.34,0.0008,1.2E-02,0,0,48.9%,---------+---+--
cg11414913,I,1,"2,799,662",F,,-0.0047,0.0014,-3.34,0.0008,1.2E-02,0,0,45.2%,--+-----+-------
cg18383890,II,13,"100,636,252",R,ZIC2,-0.0028,0.0008,-3.34,0.0008,1.2E-02,0,0,71.8%,--+-----++--+---
cg06026545,II,17,"35,656,860",R,ACACA,-0.0033,0.0010,-3.34,0.0008,1.2E-02,1,0,64.0%,-----------+-++-
cg13074055,II,14,"106,329,206",F,,-0.0073,0.0022,-3.34,0.0008,1.2E-02,0,0,81.9%,----?----+----+-
cg15599437,II,5,"40,676,198",F,,0.0024,0.0007,3.34,0.0008,1.2E-02,0,0,69.1%,+?+-++++++++-??-
cg05971521,II,20,"35,584,019",R,,0.0019,0.0006,3.34,0.0008,1.2E-02,0,0,73.8%,++-+++-+-++--+++
cg24499605,II,1,"3,142,925",R,PRDM16,0.0048,0.0014,3.34,0.0008,1.2E-02,1,0,47.9%,+++++-+++++-++++
cg20539430,I,2,"233,762,570",F,NGEF,-0.0010,0.0003,-3.34,0.0008,1.2E-02,0,0,68.4%,---------+-+----
cg12838168,II,3,"194,085,842",F,LRRC15,-0.0022,0.0007,-3.34,0.0008,1.2E-02,0,0,68.4%,--+--+----------
cg15856055,II,10,"135,121,295",F,TUBGCP2;ZNF511,0.0021,0.0006,3.34,0.0008,1.2E-02,0,0,30.6%,+++-+-+++++-++++
cg00072689,II,17,"46,681,111",R,LOC404266;HOXB6,-0.0051,0.0015,-3.33,0.0009,1.3E-02,0,0,48.0%,-----+-----?+---
cg03599037,II,10,"82,172,508",F,C10orf58,-0.0016,0.0005,-3.33,0.0009,1.3E-02,0,0,66.0%,----+----+-+-+-+
cg23634554,II,10,"130,165,379",R,,0.0037,0.0011,3.33,0.0009,1.3E-02,0,0,43.0%,++-++-+-++++++-+
cg10213762,I,6,"169,284,319",F,,0.0038,0.0012,3.33,0.0009,1.3E-02,0,0,61.7%,++++?-+++++?++++
cg12798040,I,14,"104,171,840",R,XRCC3,0.0033,0.0010,3.33,0.0009,1.3E-02,1,0,52.7%,+++-+-+-+-++++++
cg03963219,II,2,"84,709,147",R,,0.0018,0.0006,3.33,0.0009,1.3E-02,0,0,76.6%,++-+++-++++++-++
cg08739115,II,1,"3,139,650",R,PRDM16,0.0016,0.0005,3.33,0.0009,1.3E-02,1,0,36.1%,+++++++++-++++++
cg26822480,I,16,"84,341,323",F,WFDC1,-0.0007,0.0002,-3.33,0.0009,1.3E-02,0,0,69.5%,-----+---+-+--+-
cg00928816,II,10,"63,809,098",F,ARID5B,-0.0023,0.0007,-3.33,0.0009,1.3E-02,1,0,69.2%,-+---------+----
cg04332373,II,4,"15,779,642",F,CD38,0.0029,0.0009,3.33,0.0009,1.3E-02,1,0,74.6%,+++++-+++++-++--
cg06462220,II,6,"30,646,756",R,KIAA1949,-0.0016,0.0005,-3.33,0.0009,1.3E-02,1,0,59.3%,-------+-+--+-+-
cg26390660,II,3,"110,344,165",F,,0.0033,0.0010,3.33,0.0009,1.3E-02,0,0,33.4%,+++-+-+++++?+--+
cg03393889,II,16,"2,094,700",R,NTHL1,0.0019,0.0006,3.33,0.0009,1.3E-02,0,0,70.2%,+++-+-+-++++++++
cg20727233,II,7,"97,501,946",F,ASNS,-0.0011,0.0003,-3.33,0.0009,1.3E-02,1,0,76.5%,-------------+-+
cg19563365,II,11,"86,508,399",F,,-0.0020,0.0006,-3.33,0.0009,1.3E-02,0,0,67.4%,--+------+-?+-++
cg00024404,II,5,"79,552,470",R,SERINC5,-0.0016,0.0005,-3.33,0.0009,1.3E-02,1,0,82.1%,------------+---
cg06360776,I,16,"30,545,507",F,ZNF747,-0.0033,0.0010,-3.33,0.0009,1.3E-02,0,0,78.0%,-------+----+++-
cg10359157,I,13,"51,418,020",R,DLEU7,-0.0032,0.0010,-3.33,0.0009,1.3E-02,0,0,63.4%,--+---------+-+-
cg03294491,II,18,"45,458,243",F,SMAD2,-0.0018,0.0005,-3.32,0.0009,1.3E-02,1,0,75.7%,-++---+---+-----
cg10098221,II,4,"53,523,482",F,USP46,0.0015,0.0004,3.32,0.0009,1.3E-02,0,0,57.8%,+++-+---+++-++-+
cg13492245,I,9,"130,566,157",F,FPGS,-0.0022,0.0007,-3.32,0.0009,1.3E-02,0,0,54.3%,----?------?+---
cg00566320,II,1,"32,172,204",F,,-0.0019,0.0006,-3.32,0.0009,1.3E-02,0,0,69.8%,-----+-+++----++
cg24569831,I,15,"93,617,168",R,RGMA,0.0059,0.0018,3.32,0.0009,1.3E-02,0,0,59.7%,-++++-+++++++++-
cg01832549,II,1,"19,774,989",R,CAPZB,-0.0031,0.0009,-3.32,0.0009,1.3E-02,1,0,82.9%,-+-------+----+-
cg02998028,II,2,"135,621,153",R,ACMSD,0.0032,0.0010,3.32,0.0009,1.3E-02,0,0,27.7%,++++++---++-++++
cg26886875,II,6,"31,627,653",R,C6orf47,-0.0026,0.0008,-3.32,0.0009,1.3E-02,0,0,62.5%,---+-------++-++
cg11903133,I,20,"50,722,613",R,ZFP64,-0.0023,0.0007,-3.32,0.0009,1.3E-02,1,0,63.4%,--+--+--+-------
cg12616487,II,11,"62,379,063",F,ROM1;EML3,-0.0024,0.0007,-3.32,0.0009,1.3E-02,1,0,77.2%,-+---+---+-+-+--
cg26219182,II,1,"32,687,590",F,EIF3I;C1orf91,-0.0013,0.0004,-3.32,0.0009,1.3E-02,0,0,64.8%,--+--+-----++++-
cg22649124,II,19,"39,282,077",R,LGALS7B,-0.0032,0.0010,-3.32,0.0009,1.3E-02,1,0,68.3%,-+-+-------?+---
cg19731612,I,5,"176,559,334",R,NSD1,-0.0062,0.0019,-3.32,0.0009,1.3E-02,1,0,68.5%,-++--+---------+
cg06346081,II,1,"42,921,584",R,PPCS;ZMYND12,-0.0043,0.0013,-3.32,0.0009,1.3E-02,0,0,36.3%,------+-+------+
cg08640466,II,6,"35,153,213",F,,-0.0031,0.0009,-3.32,0.0009,1.3E-02,0,0,36.8%,-----------+++--
cg07839627,II,6,"29,599,836",F,GABBR1,-0.0017,0.0005,-3.32,0.0009,1.3E-02,0,0,62.1%,---------+--+---
cg25097946,II,10,"97,200,985",R,SORBS1,0.0024,0.0007,3.32,0.0009,1.3E-02,1,0,76.3%,+++++-+++++-+-++
cg08243524,II,19,"6,482,011",F,DENND1C,-0.0029,0.0009,-3.32,0.0009,1.3E-02,1,0,79.1%,-+--------------
cg19880751,II,10,"72,362,618",F,PRF1,0.0017,0.0005,3.31,0.0009,1.3E-02,0,0,76.7%,++-+++++++-+++--
cg21446172,II,1,"223,745,234",F,CAPN8,-0.0026,0.0008,-3.31,0.0009,1.3E-02,1,0,84.2%,------------++--
cg22748407,II,17,"20,947,311",R,USP22,-0.0031,0.0009,-3.31,0.0009,1.3E-02,0,0,28.5%,--+-----+------+
cg01951879,I,16,"54,315,840",R,,0.0035,0.0011,3.31,0.0009,1.3E-02,0,0,64.7%,+++++++++++-++++
cg06545367,II,7,"110,731,527",F,LRRN3;IMMP2L,-0.0038,0.0012,-3.31,0.0009,1.3E-02,1,0,63.5%,-----??---+--+--
cg22451412,II,15,"42,227,210",R,EHD4,0.0017,0.0005,3.31,0.0009,1.3E-02,1,0,66.4%,++-++++-+++-++--
cg03803818,II,12,"110,637,414",R,IFT81,0.0018,0.0005,3.31,0.0009,1.3E-02,0,0,69.6%,++++--++++++++-+
cg12811871,I,4,"2,322,078",F,ZFYVE28,0.0031,0.0009,3.31,0.0009,1.3E-02,0,0,73.3%,++++++++++++++-+
cg25349939,II,2,"144,855,085",R,GTDC1,0.0031,0.0009,3.31,0.0009,1.4E-02,0,0,72.4%,++++--++++++++++
cg08121317,II,15,"101,327,691",R,,0.0029,0.0009,3.30,0.0010,1.4E-02,0,0,48.4%,++-++-+++++?++-+
cg07250758,I,11,"61,049,251",R,VWCE,0.0037,0.0011,3.30,0.0010,1.4E-02,0,0,65.7%,+++-++-+++++++++
cg15432485,II,12,"2,039,878",F,,0.0028,0.0008,3.30,0.0010,1.4E-02,0,0,33.3%,+++-++++++++-+++
cg19798735,II,7,"110,730,805",F,IMMP2L;LRRN3,-0.0052,0.0016,-3.30,0.0010,1.4E-02,1,0,71.9%,-----+-+--++----
cg05229454,II,17,"80,494,379",R,FOXK2,-0.0063,0.0019,-3.30,0.0010,1.4E-02,0,0,52.1%,----???--?-??-++
cg22849665,I,6,"32,118,375",R,PRRT1,-0.0049,0.0015,-3.30,0.0010,1.4E-02,1,0,65.1%,-++----------+-+
cg09172850,II,1,"191,933,198",F,,-0.0051,0.0015,-3.30,0.0010,1.4E-02,0,0,61.0%,-+--?+--+-------
cg16237191,II,12,"55,945,613",R,OR6C4,0.0043,0.0013,3.30,0.0010,1.4E-02,0,0,63.4%,+--++--++++-++++
cg26112929,II,7,"5,821,500",F,RNF216,-0.0014,0.0004,-3.30,0.0010,1.4E-02,0,0,41.5%,---+----++-+----
cg18043267,I,10,"135,170,752",F,C10orf125,-0.0027,0.0008,-3.30,0.0010,1.4E-02,0,0,43.7%,-++---+-++-+--+-
cg25420507,II,19,"39,261,921",F,LGALS7,-0.0040,0.0012,-3.30,0.0010,1.4E-02,1,0,68.2%,---+-------?+---
cg08323969,II,17,"40,770,823",R,,0.0020,0.0006,3.30,0.0010,1.4E-02,0,0,53.9%,+++++++-++++++--
cg03832440,II,17,"14,207,241",F,HS3ST3B1;MGC12916,-0.0041,0.0013,-3.30,0.0010,1.4E-02,0,0,67.1%,-----+------++--
cg06899522,II,1,"9,355,438",R,SPSB1,0.0017,0.0005,3.30,0.0010,1.4E-02,0,0,14.4%,++++++++--+++-++
cg26844633,II,15,"40,635,904",F,,-0.0046,0.0014,-3.30,0.0010,1.4E-02,0,0,69.5%,-------+-+-+-+--
cg16201146,II,20,"19,191,526",R,,-0.0030,0.0009,-3.30,0.0010,1.4E-02,1,0,81.8%,---+--------+-+-
cg20288892,II,7,"82,072,332",R,CACNA2D1,-0.0014,0.0004,-3.29,0.0010,1.4E-02,0,0,50.9%,--+------++-----
cg18397998,I,1,"2,125,243",R,C1orf86;LOC100128003,-0.0015,0.0005,-3.29,0.0010,1.4E-02,1,0,51.1%,---+---+----+---
cg05986195,II,18,"43,608,509",F,PSTPIP2,0.0024,0.0007,3.29,0.0010,1.4E-02,0,0,65.0%,++++?+++++-?+-++
cg00574412,II,17,"27,892,866",F,ABHD15,-0.0027,0.0008,-3.29,0.0010,1.4E-02,0,0,73.5%,-++--+---------+
cg23677833,II,19,"16,308,345",R,AP1M1,-0.0014,0.0004,-3.29,0.0010,1.4E-02,0,0,80.5%,-+---------+----
cg02451831,II,7,"26,578,098",R,KIAA0087,-0.0022,0.0007,-3.29,0.0010,1.4E-02,1,0,91.2%,--+---------++++
cg27401724,II,17,"43,213,629",R,ACBD4,-0.0023,0.0007,-3.29,0.0010,1.4E-02,0,0,42.0%,---------+----++
cg15952045,I,3,"37,848,209",F,ITGA9,0.0016,0.0005,3.29,0.0010,1.4E-02,0,0,62.9%,+++-+++++++++++-
cg16771652,II,16,"50,730,385",F,NOD2,-0.0022,0.0007,-3.29,0.0010,1.4E-02,0,0,76.0%,----------+-+--+
cg27178772,II,6,"89,794,756",F,PNRC1,0.0013,0.0004,3.29,0.0010,1.4E-02,0,0,66.6%,+++-+++++++-++++
cg25471071,II,3,"1,423,210",F,CNTN6,0.0036,0.0011,3.28,0.0010,1.4E-02,0,0,30.8%,+++++-+++++++-++
cg13452386,II,11,"67,398,435",F,NUDT8,-0.0033,0.0010,-3.28,0.0010,1.4E-02,0,0,49.7%,---------+-++---
cg13014333,II,6,"31,762,776",F,VARS,-0.0012,0.0004,-3.28,0.0010,1.4E-02,1,0,78.1%,-----+-++--+----
cg03228353,II,1,"161,520,094",R,FCGR3A,0.0013,0.0004,3.28,0.0010,1.4E-02,0,0,47.6%,++--+++++++-+--+
cg04308185,I,17,"38,084,377",R,ORMDL3,-0.0056,0.0017,-3.28,0.0010,1.4E-02,0,0,53.1%,--+-?-----+?-+--
cg00063111,II,3,"39,448,952",R,SNORA6;RPSA,-0.0032,0.0010,-3.28,0.0010,1.4E-02,1,1,67.1%,---+----+--+----
cg22517925,I,12,"117,535,242",F,TESC,-0.0030,0.0009,-3.28,0.0010,1.4E-02,0,0,52.4%,----------------
cg14639163,II,2,"219,738,529",R,WNT6,0.0039,0.0012,3.28,0.0010,1.4E-02,0,0,48.5%,+++++-+++++++-++
cg06294803,I,3,"184,033,282",F,EIF4G1,-0.0028,0.0008,-3.28,0.0010,1.5E-02,1,0,73.8%,---+-+-----++---
cg15908709,II,17,"46,676,215",R,LOC404266;HOXB6,-0.0039,0.0012,-3.28,0.0010,1.5E-02,0,0,68.2%,---+-------+---+
cg17877600,II,1,"208,005,598",R,,-0.0021,0.0006,-3.28,0.0011,1.5E-02,0,0,80.6%,-------+-+----+-
cg16349827,II,2,"98,852,938",F,VWA3B,0.0029,0.0009,3.28,0.0011,1.5E-02,1,0,65.4%,++++++++++-+-+--
cg14014731,II,9,"19,378,679",R,RPS6,-0.0034,0.0010,-3.28,0.0011,1.5E-02,1,0,79.7%,----???----+----
cg20912205,II,3,"50,337,305",R,NAT6;HYAL3,-0.0016,0.0005,-3.28,0.0011,1.5E-02,1,0,79.2%,-+-++---+-------
cg18396403,II,22,"38,615,368",R,TMEM184B,-0.0023,0.0007,-3.27,0.0011,1.5E-02,0,0,61.2%,-------++-------
cg11588903,II,19,"17,208,493",R,MYO9B,-0.0035,0.0011,-3.27,0.0011,1.5E-02,0,0,65.2%,-+-+?------?-++-
cg22239201,II,4,"95,678,703",R,BMPR1B,-0.0026,0.0008,-3.27,0.0011,1.5E-02,0,0,43.0%,---+--+-+-------
cg04141806,II,5,"374,252",R,AHRR,-0.0015,0.0005,-3.27,0.0011,1.5E-02,1,0,54.6%,--+---+-+---++--
cg27146050,II,19,"46,801,557",R,HIF3A,-0.0030,0.0009,-3.27,0.0011,1.5E-02,0,0,42.1%,-----+--+-------
cg03677069,I,10,"88,718,317",F,SNCG;MMRN2,-0.0039,0.0012,-3.27,0.0011,1.5E-02,0,0,29.2%,---+-----+-+----
cg06439889,II,6,"72,077,399",R,,0.0018,0.0006,3.27,0.0011,1.5E-02,0,0,63.1%,+++-++--+++++++-
cg15161691,II,11,"134,257,429",R,B3GAT1,0.0032,0.0010,3.27,0.0011,1.5E-02,0,0,63.9%,++++++++-+-+++++
cg15578140,II,7,"147,718,109",R,MIR548F3;CNTNAP2,0.0041,0.0013,3.27,0.0011,1.5E-02,1,1,60.7%,++-++--++++-++++
cg14902389,II,2,"99,342,685",R,MGAT4A,-0.0015,0.0005,-3.27,0.0011,1.5E-02,1,0,61.5%,---+--------+++-
cg00071265,II,20,"60,717,158",F,PSMA7,-0.0027,0.0008,-3.27,0.0011,1.5E-02,1,0,70.5%,---+----+--?-+--
cg19458020,I,17,"38,473,119",R,RARA,-0.0021,0.0007,-3.27,0.0011,1.5E-02,1,0,43.0%,---+--------++-+
cg18384588,II,22,"46,463,747",F,,-0.0017,0.0005,-3.27,0.0011,1.5E-02,0,0,55.0%,---+-------+---+
cg15380744,II,4,"15,964,812",F,FGFBP2,-0.0036,0.0011,-3.27,0.0011,1.5E-02,0,0,62.0%,--------------++
cg19956914,II,7,"56,147,257",R,SUMF2,0.0047,0.0014,3.26,0.0011,1.5E-02,1,0,79.8%,++-++-+++++-+++-
cg18235690,II,19,"46,386,962",F,IRF2BP1,-0.0031,0.0010,-3.26,0.0011,1.5E-02,0,0,57.6%,--+-----++--+-++
cg11051055,I,8,"11,058,145",R,XKR6,-0.0038,0.0012,-3.26,0.0011,1.5E-02,1,0,57.1%,-----+---+---+--
cg05877788,I,17,"27,899,874",R,TP53I13,-0.0030,0.0009,-3.26,0.0011,1.5E-02,0,0,65.5%,--+--+---+----+-
cg17233819,II,1,"45,266,782",F,PLK3,-0.0029,0.0009,-3.26,0.0011,1.5E-02,0,0,44.2%,----?+-----?----
cg05590619,II,3,"42,056,814",F,,0.0010,0.0003,3.26,0.0011,1.5E-02,0,0,77.5%,+++++++++++-++-+
cg19230867,II,3,"42,103,367",F,,0.0031,0.0010,3.26,0.0011,1.5E-02,0,0,18.5%,-++++-+++-++++++
cg00213123,I,15,"75,019,070",F,CYP1A1,-0.0038,0.0012,-3.26,0.0011,1.5E-02,1,0,25.7%,--+---+--------+
cg02415661,II,19,"16,308,183",F,AP1M1,-0.0022,0.0007,-3.26,0.0011,1.5E-02,0,0,72.0%,-+------+--?----
cg24389054,II,7,"27,194,013",R,HOXA7,-0.0026,0.0008,-3.26,0.0011,1.5E-02,1,0,86.8%,-----+--+---++--
cg18241337,II,3,"156,271,892",R,SSR3,-0.0025,0.0008,-3.26,0.0011,1.5E-02,0,0,76.3%,---+--------+---
cg00501876,II,3,"39,193,251",R,CSRNP1,-0.0019,0.0006,-3.26,0.0011,1.5E-02,1,0,91.4%,------+----+-++-
cg17675492,II,11,"62,679,111",F,CHRM1,0.0021,0.0007,3.26,0.0011,1.5E-02,0,0,62.1%,++--+-+++++-++-+
cg00736958,II,3,"52,099,548",F,C3orf74,0.0015,0.0005,3.26,0.0011,1.5E-02,0,0,68.9%,+++-+--+++++++-+
cg15417641,II,3,"53,700,141",R,CACNA1D,0.0061,0.0019,3.26,0.0011,1.5E-02,1,0,83.9%,+++++-+++++-+++-
cg17256711,II,6,"154,331,078",F,OPRM1,0.0032,0.0010,3.26,0.0011,1.5E-02,0,0,64.8%,++-+???-+++-++-+
cg11073255,II,6,"31,762,455",F,VARS,-0.0015,0.0005,-3.25,0.0011,1.5E-02,1,0,76.6%,--------+---++--
cg17243289,II,18,"45,458,021",F,SMAD2,-0.0022,0.0007,-3.25,0.0011,1.5E-02,1,0,73.4%,-----+--+---+---
cg16649560,II,16,"27,338,391",F,IL4R,-0.0026,0.0008,-3.25,0.0011,1.5E-02,0,0,51.4%,--------+-+----+
cg06159340,II,16,"30,907,560",F,CTF1,-0.0031,0.0009,-3.25,0.0011,1.5E-02,0,0,63.0%,-+------+---+++-
cg14656441,II,1,"39,500,070",R,NDUFS5,0.0058,0.0018,3.25,0.0011,1.5E-02,1,0,64.3%,++++++-+++--++++
cg22937882,II,5,"405,774",F,AHRR;LOC100310782,0.0022,0.0007,3.25,0.0011,1.5E-02,1,0,73.9%,++++++++-++-++-+
cg14184886,II,19,"46,386,226",R,,-0.0025,0.0008,-3.25,0.0011,1.5E-02,0,0,79.0%,-+------+---+--+
cg04158115,I,1,"36,863,305",F,LSM10,-0.0007,0.0002,-3.25,0.0011,1.5E-02,0,0,32.5%,---+-----------+
cg20397034,I,7,"130,794,584",F,MKLN1;FLJ43663,-0.0010,0.0003,-3.25,0.0011,1.5E-02,0,0,45.2%,------+-+-+-+--+
cg06457408,II,17,"79,827,882",R,ARHGDIA,-0.0017,0.0005,-3.25,0.0011,1.5E-02,1,0,80.0%,-+----+--+------
cg08742502,II,6,"106,546,754",F,PRDM1,-0.0057,0.0018,-3.25,0.0012,1.5E-02,0,0,47.5%,-----+----++----
cg15950273,II,14,"103,367,306",F,TRAF3,0.0049,0.0015,3.25,0.0012,1.5E-02,0,0,58.5%,+++-+++++++-+++-
cg24685761,II,1,"156,253,152",F,SMG5;TMEM79,-0.0041,0.0013,-3.25,0.0012,1.5E-02,0,0,52.5%,-?-+???----+?---
cg00489660,II,11,"57,089,821",R,TNKS1BP1,-0.0018,0.0006,-3.25,0.0012,1.5E-02,1,0,78.4%,-+-------+------
cg22642495,II,19,"10,197,856",F,C19orf66,-0.0028,0.0009,-3.25,0.0012,1.6E-02,0,0,61.2%,--++----++---++-
cg05941631,II,2,"46,521,469",R,,0.0016,0.0005,3.25,0.0012,1.6E-02,0,0,53.0%,++-++++++++++++-
cg16608018,II,10,"122,739,544",F,,-0.0023,0.0007,-3.24,0.0012,1.6E-02,0,0,34.9%,-+------+----++-
cg17855595,II,1,"249,148,077",F,ZNF692,0.0016,0.0005,3.24,0.0012,1.6E-02,0,0,71.7%,+++++++-+++++-++
cg18028767,II,11,"859,873",F,TSPAN4,0.0019,0.0006,3.24,0.0012,1.6E-02,0,0,72.5%,+++++--++++?++++
cg13541527,II,6,"31,804,078",F,C6orf48;SNORD52,-0.0062,0.0019,-3.24,0.0012,1.6E-02,1,1,74.4%,-----------+--+-
cg16932827,II,3,"193,988,639",F,,0.0024,0.0007,3.24,0.0012,1.6E-02,0,0,50.1%,++-++-+-+++-++++
cg23599683,I,1,"40,235,372",F,BMP8B;OXCT2,0.0018,0.0006,3.24,0.0012,1.6E-02,0,0,33.3%,++++++-+---?++-+
