Probe ID,Infinium Design Type,Chromosome,Location (hg19),Strand,Gene Symbol,Effect,Std. Error,Z-value,P-value,FDR,Previously Seen,Small Molecules,Sign
cg24151087,II,17,"19,450,271",F,SLC47A1,0.0037,0.0010,3.68,0.0002,0.0102,0,0,++++++-++++++-++
cg03833774,II,X,"77,914,149",F,ZCCHC5,0.0059,0.0016,3.68,0.0002,0.0102,0,0,+++++??+??+-++--
cg01077185,II,7,"149,562,623",R,ZNF862,0.0040,0.0011,3.68,0.0002,0.0102,0,0,++++-++++++++++-
cg09550697,I,8,"145,012,068",R,PLEC1,-0.0019,0.0005,-3.68,0.0002,0.0102,1,0,--------?-+++---
cg06538345,II,19,"49,993,186",R,RPL13AP5;SNORD33;SNORD35A;SNORD34;RPL13A;SNORD32A,-0.0057,0.0016,-3.68,0.0002,0.0102,0,1,-------+-+-+----
cg26464446,II,7,"27,221,557",F,HOXA11,-0.0028,0.0008,-3.68,0.0002,0.0102,0,0,---+-++--+-+----
cg19947104,I,11,"17,757,342",F,KCNC1,0.0043,0.0012,3.68,0.0002,0.0102,0,0,+++-+++++++-+-++
cg22163674,II,15,"41,877,442",R,,0.0025,0.0007,3.68,0.0002,0.0102,0,0,++++++-++++++-++
cg27653384,I,22,"22,293,118",F,PPM1F,0.0103,0.0028,3.68,0.0002,0.0102,0,0,++-++++++-+-++-+
cg21741708,II,8,"143,206,559",R,,0.0051,0.0014,3.68,0.0002,0.0102,0,0,+++-++++++++++-+
cg15729230,I,1,"172,628,514",F,FASLG,0.0025,0.0007,3.68,0.0002,0.0102,1,0,++-++++++++++---
cg11617816,II,20,"50,010,224",R,NFATC2,0.0054,0.0015,3.68,0.0002,0.0102,0,0,+++++-++-++++++-
cg07499072,II,5,"52,776,694",R,FST,0.0019,0.0005,3.68,0.0002,0.0102,1,0,+++-+--++++++--+
cg09522532,II,19,"5,892,111",R,,0.0029,0.0008,3.68,0.0002,0.0102,0,0,+++-+-+-+++++++-
cg14956327,II,6,"110,737,053",R,DDO,0.0075,0.0020,3.68,0.0002,0.0102,0,0,++-+++++++++++++
cg20181887,I,12,"123,753,272",R,CDK2AP1,0.0043,0.0012,3.68,0.0002,0.0102,1,0,++++++++--++++++
cg03995533,II,16,"11,194,243",R,CLEC16A,-0.0036,0.0010,-3.68,0.0002,0.0102,0,0,-----+-+-+-+----
cg11264499,I,5,"79,286,765",R,MTX3,-0.0029,0.0008,-3.68,0.0002,0.0102,0,0,---+-------++--+
cg18468088,I,6,"35,490,818",F,,-0.0048,0.0013,-3.68,0.0002,0.0102,0,0,-+-----------+--
cg26843612,II,6,"16,636,157",F,ATXN1,-0.0027,0.0007,-3.68,0.0002,0.0102,0,0,-------+---+----
cg01041239,I,18,"13,222,581",F,C18orf1,0.0051,0.0014,3.68,0.0002,0.0102,0,0,+++-++-++++?++++
cg01207974,II,13,"50,703,026",F,,-0.0048,0.0013,-3.68,0.0002,0.0102,0,0,-------+--------
cg14165633,I,20,"3,830,653",R,MAVS,-0.0029,0.0008,-3.68,0.0002,0.0103,0,0,----?+-------+--
cg10442251,II,1,"18,700,625",F,IGSF21,-0.0062,0.0017,-3.68,0.0002,0.0103,0,0,---+-----+-?-+--
cg08126789,II,16,"84,746,995",R,USP10,0.0038,0.0010,3.68,0.0002,0.0103,0,0,++++++++++-+-+++
cg16548201,I,14,"94,419,708",R,ASB2,-0.0053,0.0014,-3.68,0.0002,0.0103,1,0,---+-----+-?---+
cg14334350,II,9,"139,400,168",R,NOTCH1,0.0051,0.0014,3.68,0.0002,0.0103,1,0,+++++-+++++++---
cg02878831,II,17,"78,847,752",R,RPTOR,0.0044,0.0012,3.68,0.0002,0.0103,1,0,+--+++++++++++++
cg09605494,I,10,"43,725,411",R,RASGEF1A,0.0028,0.0008,3.68,0.0002,0.0103,0,0,-+-++-++++++++++
cg07552707,II,20,"44,519,093",F,CTSA;NEURL2,0.0034,0.0009,3.68,0.0002,0.0103,0,0,+++-+++++-+-+-++
cg15561501,I,19,"30,160,603",R,PLEKHF1,0.0043,0.0012,3.68,0.0002,0.0103,0,0,+++++-++++++-+-+
cg03062944,I,10,"6,183,455",F,,-0.0058,0.0016,-3.68,0.0002,0.0103,0,0,-+-+---+--------
cg11752275,II,2,"85,921,036",F,GNLY,0.0091,0.0025,3.68,0.0002,0.0103,0,0,+++++++++++-++--
cg14825976,II,18,"13,611,370",R,C18orf1,0.0056,0.0015,3.68,0.0002,0.0103,0,0,++-++++++++++--+
cg03408271,II,4,"13,537,647",R,,0.0026,0.0007,3.68,0.0002,0.0103,0,0,+++++-+-++++++++
cg23625628,I,6,"33,267,991",R,TAPBP;RGL2,-0.0095,0.0026,-3.68,0.0002,0.0103,0,0,--+-------+----+
cg09373227,II,11,"69,484,433",F,ORAOV1,-0.0014,0.0004,-3.68,0.0002,0.0103,0,0,-------+-+-++---
cg02228185,II,17,"3,379,567",F,ASPA,0.0097,0.0026,3.68,0.0002,0.0103,0,0,++-++++++++-++-+
cg05359207,II,20,"52,196,506",R,ZNF217,-0.0027,0.0007,-3.68,0.0002,0.0103,0,0,---+---+---++---
cg26810767,II,16,"79,303,841",R,,-0.0047,0.0013,-3.68,0.0002,0.0103,0,0,-----+----+----+
cg01637175,I,17,"21,281,507",F,KCNJ12,-0.0129,0.0035,-3.68,0.0002,0.0103,0,0,-----------+---+
cg17471467,II,11,"44,332,838",F,ALX4,0.0016,0.0004,3.68,0.0002,0.0103,0,0,+++++-+++++++-++
cg16588297,I,7,"128,765,024",R,LOC407835,0.0018,0.0005,3.68,0.0002,0.0103,0,0,+++++++++++++-++
cg05744184,II,17,"40,463,806",F,STAT5A,0.0033,0.0009,3.68,0.0002,0.0103,0,0,+-+++++++++-++++
cg25399352,I,12,"114,837,572",F,TBX5,-0.0064,0.0017,-3.68,0.0002,0.0103,0,0,--+---------+---
cg08978665,II,16,"3,115,707",R,IL32,-0.0045,0.0012,-3.68,0.0002,0.0103,0,0,---------+---+--
cg01845501,II,5,"31,619,428",R,,0.0061,0.0016,3.68,0.0002,0.0103,0,0,++-++-++++++-+-+
cg09420907,II,12,"4,273,763",R,,0.0027,0.0007,3.68,0.0002,0.0103,0,0,+++++++++++-++++
cg26355072,I,5,"141,674,679",F,,0.0020,0.0005,3.68,0.0002,0.0104,0,0,+++-+++++-+++-++
cg20985399,I,15,"65,689,263",R,IGDCC4,0.0047,0.0013,3.68,0.0002,0.0104,0,0,+++-++-+++-++-++
cg01999046,II,9,"139,779,708",R,TRAF2,-0.0041,0.0011,-3.68,0.0002,0.0104,0,0,---+-+----------
cg17836014,II,2,"201,630,341",R,,-0.0027,0.0007,-3.68,0.0002,0.0104,0,0,---------+---+--
cg16045731,II,14,"24,777,708",F,LTB4R2;CIDEB,0.0036,0.0010,3.68,0.0002,0.0104,0,0,+++++++++-+++--+
cg11789321,II,5,"56,773,063",R,,-0.0083,0.0023,-3.68,0.0002,0.0104,0,0,---+-----+------
cg05624954,I,5,"179,340,170",R,,0.0042,0.0011,3.68,0.0002,0.0104,0,0,++--++++--+?++++
cg13673960,II,4,"1,742,301",F,TACC3,0.0043,0.0012,3.68,0.0002,0.0104,0,0,+++++-++-++?++-+
cg02283485,I,10,"81,003,020",F,ZMIZ1,0.0036,0.0010,3.68,0.0002,0.0104,1,0,+++++++++-+-++--
cg18717146,II,19,"1,478,715",R,C19orf25,-0.0052,0.0014,-3.68,0.0002,0.0104,0,0,---+-+---+-----+
cg01559446,II,3,"44,596,178",R,ZNF167,0.0026,0.0007,3.67,0.0002,0.0104,0,0,++++?-+--++?-+-+
cg07164065,II,11,"33,809,547",R,,-0.0036,0.0010,-3.67,0.0002,0.0104,0,0,-------+-+++----
cg10558233,II,8,"94,892,613",R,,-0.0079,0.0021,-3.67,0.0002,0.0104,0,0,-----+----++-+--
cg18661868,II,15,"91,427,965",R,FES,0.0034,0.0009,3.67,0.0002,0.0104,0,0,+++++++++++++-++
cg22705835,II,10,"65,332,833",R,REEP3,-0.0050,0.0014,-3.67,0.0002,0.0104,0,0,--+---+------+-+
cg04149978,II,1,"10,764,896",F,CASZ1,-0.0073,0.0020,-3.67,0.0002,0.0104,0,0,---------+------
cg19409163,II,6,"140,303,164",R,,0.0055,0.0015,3.67,0.0002,0.0104,0,0,++-+???+++++++++
cg09197279,II,2,"196,966,508",F,,-0.0029,0.0008,-3.67,0.0002,0.0104,0,0,---+----++------
cg04237997,II,11,"124,629,752",R,ESAM,0.0033,0.0009,3.67,0.0002,0.0104,0,0,+++-+++++-+++-++
cg04169021,II,17,"35,060,451",F,,0.0025,0.0007,3.67,0.0002,0.0104,0,0,+++--++-+++?+-++
cg08354908,II,6,"32,803,009",F,TAP2,-0.0016,0.0004,-3.67,0.0002,0.0104,0,0,------+---+--+--
cg08042223,II,20,"3,074,231",F,,0.0027,0.0007,3.67,0.0002,0.0104,0,0,++++++++++++++-+
cg04663842,II,7,"73,242,001",F,,0.0057,0.0015,3.67,0.0002,0.0104,0,0,++-++++++++-+--+
cg17115737,II,7,"75,580,813",F,POR,0.0033,0.0009,3.67,0.0002,0.0104,1,0,++++++---++-+---
cg14183865,II,4,"781,229",R,CPLX1,-0.0089,0.0024,-3.67,0.0002,0.0104,0,0,---+-----+------
cg16335643,II,8,"101,569,405",R,ANKRD46,0.0029,0.0008,3.67,0.0002,0.0105,0,0,++-++++--+++++-+
cg26224354,I,7,"1,096,374",F,C7orf50;GPR146,-0.0067,0.0018,-3.67,0.0002,0.0105,1,0,----------------
cg06108383,II,6,"32,120,899",R,PPT2;PRRT1,-0.0062,0.0017,-3.67,0.0002,0.0105,1,0,-------+-+----+-
cg13389146,II,2,"96,808,802",R,,-0.0026,0.0007,-3.67,0.0002,0.0105,0,0,--+--+-+-+------
cg27081230,II,16,"50,715,529",R,SNX20,-0.0043,0.0012,-3.67,0.0002,0.0105,0,0,---+-+---+-+----
cg05471495,II,2,"101,369,330",R,,0.0064,0.0017,3.67,0.0002,0.0105,0,0,+++++++++-++++-+
cg04444027,II,16,"8,986,092",R,USP7,-0.0036,0.0010,-3.67,0.0002,0.0105,0,0,-----+-+-+-+----
cg20561830,II,14,"81,893,829",F,,0.0018,0.0005,3.67,0.0002,0.0105,0,0,+-++++++-++++-++
cg12625990,I,11,"6,633,090",F,TAF10,-0.0024,0.0006,-3.67,0.0002,0.0105,0,0,---+--+----+----
cg18696027,II,15,"45,002,597",F,B2M,-0.0056,0.0015,-3.67,0.0002,0.0105,0,0,---+-+-+--+-----
cg22355517,II,12,"20,522,674",R,PDE3A,0.0037,0.0010,3.67,0.0002,0.0105,0,0,+++-+-+--+++++++
cg18324467,I,17,"74,237,002",F,RNF157,-0.0015,0.0004,-3.67,0.0002,0.0105,0,0,--------+--+-+--
cg07584631,I,19,"50,366,240",F,PNKP,0.0039,0.0011,3.67,0.0002,0.0105,0,0,+++++++-++++-+-+
cg08324157,II,6,"23,455,043",F,,-0.0046,0.0013,-3.67,0.0002,0.0105,0,0,---+-++--+---+--
cg07912766,II,18,"45,458,698",F,SMAD2,-0.0077,0.0021,-3.67,0.0002,0.0105,1,0,-----+---+-+---+
cg05296818,II,14,"61,117,162",F,SIX1,-0.0037,0.0010,-3.67,0.0002,0.0105,0,0,--------------+-
cg25826360,I,17,"74,496,953",F,RHBDF2,-0.0045,0.0012,-3.67,0.0002,0.0105,0,0,---+---+------+-
cg03178798,II,18,"10,032,699",F,,0.0026,0.0007,3.67,0.0002,0.0105,0,0,+++-+--++++++-++
cg00950809,II,1,"47,082,851",R,MOBKL2C,0.0029,0.0008,3.67,0.0002,0.0105,0,0,++-+++++++++-+-+
cg07900344,II,2,"6,305,776",R,,-0.0022,0.0006,-3.67,0.0002,0.0105,0,0,---+--++-+------
cg17324588,I,14,"106,743,777",R,,-0.0017,0.0005,-3.67,0.0002,0.0105,0,0,---+--------+---
cg09659734,II,16,"56,227,065",R,DKFZP434H168;GNAO1,0.0027,0.0007,3.67,0.0002,0.0105,0,0,+++++++-++++++-+
cg15626112,II,8,"131,025,902",R,,0.0062,0.0017,3.67,0.0002,0.0105,0,0,+++++++++-+-++++
cg07439128,II,11,"2,890,019",R,KCNQ1DN,-0.0026,0.0007,-3.67,0.0002,0.0105,0,0,---+-----+------
cg05159799,II,17,"78,043,031",R,CCDC40,-0.0068,0.0018,-3.67,0.0002,0.0106,0,0,---+-------+--+-
cg15227994,II,10,"85,951,128",R,,0.0065,0.0018,3.67,0.0002,0.0106,0,0,++-++++++++-++-+
cg23473819,I,19,"708,670",R,PALM,0.0029,0.0008,3.67,0.0002,0.0106,0,0,++--++++-+++++++
cg08095183,II,11,"69,947,048",R,ANO1,-0.0023,0.0006,-3.67,0.0002,0.0106,0,0,---+-++--+--+-+-
cg07733851,II,5,"142,781,498",R,NR3C1,-0.0060,0.0016,-3.67,0.0002,0.0106,0,0,-----+---+--+--+
cg21032628,II,2,"217,560,306",F,IGFBP5,0.0028,0.0008,3.67,0.0002,0.0106,0,0,++++++++++++--++
cg00512459,II,15,"88,266,173",R,,-0.0050,0.0014,-3.67,0.0002,0.0106,0,0,---+-+-+-+-+----
cg08163621,II,1,"6,685,996",F,THAP3,-0.0044,0.0012,-3.67,0.0002,0.0106,0,0,---+?+-----?-+--
cg02931464,II,12,"121,826,303",F,,0.0023,0.0006,3.67,0.0002,0.0106,0,0,+++++++++-+--+-+
cg06201717,I,1,"2,949,633",R,,-0.0034,0.0009,-3.67,0.0002,0.0106,0,0,--+------+-?-+--
cg11557492,I,19,"56,002,240",R,SSC5D,0.0043,0.0012,3.67,0.0002,0.0106,0,0,++++++--++++++++
cg22488891,I,13,"40,762,452",F,,-0.0113,0.0031,-3.67,0.0002,0.0106,1,0,--+----------+--
cg17585528,II,3,"187,988,060",R,LPP,-0.0134,0.0036,-3.67,0.0002,0.0106,0,0,-?--???----??+-+
cg19805223,II,22,"25,346,191",F,,-0.0058,0.0016,-3.67,0.0002,0.0106,0,0,---+-+-+-+-+----
cg24480361,II,15,"60,291,880",R,,-0.0021,0.0006,-3.67,0.0002,0.0106,0,0,---------+-+-+--
cg21240420,II,6,"33,148,096",R,COL11A2,0.0043,0.0012,3.67,0.0002,0.0106,0,0,++-++++++++++-++
cg06711259,II,22,"39,095,898",R,JOSD1,-0.0055,0.0015,-3.67,0.0002,0.0106,0,0,-----+---+---+--
cg27268279,I,10,"71,672,083",F,COL13A1,-0.0066,0.0018,-3.67,0.0002,0.0106,0,0,---+-------+----
cg22859061,I,5,"180,018,503",F,SCGB3A1,0.0017,0.0005,3.67,0.0002,0.0106,1,0,+++-+--+++++-+++
cg20207784,II,X,"71,494,120",R,RPS4X,-0.0049,0.0013,-3.67,0.0002,0.0106,0,0,-----??-??-+-+--
cg16003913,II,16,"127,072",F,MPG,0.0024,0.0007,3.67,0.0002,0.0106,0,0,+++++++++--++-++
cg22544863,II,19,"15,580,400",R,PGLYRP2,0.0067,0.0018,3.67,0.0002,0.0106,1,0,+++-+++++-+-++++
cg05329317,II,16,"30,126,595",F,MAPK3,-0.0029,0.0008,-3.67,0.0002,0.0106,0,0,--+--+------+++-
cg00259742,I,11,"1,871,101",F,,0.0026,0.0007,3.67,0.0002,0.0106,0,0,++++++-++-++--+-
cg08597761,I,16,"71,264,545",F,HYDIN,0.0027,0.0007,3.67,0.0002,0.0106,0,0,+++++--++-+?+-++
cg11624309,II,19,"42,381,214",R,CD79A,-0.0027,0.0007,-3.67,0.0002,0.0106,0,0,-----------++---
cg26427498,II,7,"105,987,258",R,,-0.0073,0.0020,-3.67,0.0002,0.0106,0,0,----------+++---
cg05600496,II,13,"80,357,187",F,,-0.0075,0.0020,-3.67,0.0002,0.0106,0,0,---+-------+----
cg07045089,I,1,"3,620,218",R,TP73,-0.0072,0.0020,-3.67,0.0002,0.0106,0,0,-+---------?---+
cg17190891,II,7,"101,962,112",F,SH2B2,-0.0097,0.0026,-3.67,0.0002,0.0106,1,0,---------?-++---
cg16220567,II,6,"31,631,762",F,BAT4,-0.0076,0.0021,-3.67,0.0002,0.0106,0,0,--+--------+-+--
cg05856036,II,6,"33,397,511",F,SYNGAP1,-0.0038,0.0010,-3.67,0.0002,0.0106,1,0,---------+----+-
cg19638749,II,2,"70,312,615",R,,-0.0103,0.0028,-3.67,0.0002,0.0106,0,0,---+-----+-+----
cg07116631,I,16,"3,345,463",R,,0.0057,0.0016,3.67,0.0002,0.0106,0,0,+++-++--+-+++-++
cg20169521,II,2,"202,563,587",R,MPP4,-0.0021,0.0006,-3.67,0.0002,0.0106,1,0,---------+-+-+--
cg14884291,II,8,"104,152,244",F,BAALC;C8orf56,-0.0054,0.0015,-3.67,0.0002,0.0106,0,0,--+-----++-?--+-
cg25426867,II,10,"29,892,649",R,SVIL;MIR938,-0.0069,0.0019,-3.67,0.0002,0.0106,0,1,---+-+-------++-
cg01475577,II,7,"128,829,615",F,SMO,0.0035,0.0009,3.67,0.0002,0.0106,0,0,++++++++++--++-+
cg24966702,I,6,"168,720,476",R,DACT2,0.0028,0.0008,3.67,0.0002,0.0106,1,0,+++-+--++-++++++
cg07071615,II,14,"106,214,478",F,,-0.0056,0.0015,-3.67,0.0002,0.0106,0,0,-+-------+-?----
cg09801082,I,17,"7,452,289",F,TNFSF12;TNFSF12-TNFSF13,-0.0007,0.0002,-3.67,0.0002,0.0106,0,0,-------+----+--+
cg00840332,I,7,"127,881,269",R,LEP,0.0070,0.0019,3.67,0.0002,0.0107,0,0,+++-+++-+++++-++
cg24940576,II,11,"125,904,314",F,CDON,0.0070,0.0019,3.67,0.0002,0.0107,0,0,+++++++++++-++++
cg10778310,II,7,"128,509,080",F,,0.0040,0.0011,3.67,0.0002,0.0107,0,0,++++++++++++++++
cg10221637,I,1,"11,866,416",R,CLCN6;MTHFR,0.0024,0.0007,3.67,0.0002,0.0107,1,0,+++++-+++++++-++
cg00421693,II,5,"118,689,293",F,TNFAIP8,-0.0050,0.0014,-3.67,0.0002,0.0107,0,0,-----+---+-+++--
cg01787084,II,16,"87,371,097",F,FBXO31,0.0047,0.0013,3.67,0.0002,0.0107,0,0,+++++++-+++++--+
cg14030836,II,1,"2,992,620",F,PRDM16,-0.0058,0.0016,-3.67,0.0002,0.0107,1,0,--------++------
cg22365446,II,7,"1,885,050",R,MAD1L1,-0.0027,0.0007,-3.67,0.0002,0.0107,1,0,--+------+--++--
cg11177980,I,1,"41,982,115",R,HIVEP3,0.0030,0.0008,3.67,0.0002,0.0107,1,0,-++++++++-+++-++
cg24328095,II,17,"80,205,093",F,CSNK1D,0.0032,0.0009,3.67,0.0002,0.0107,1,0,++++++++-++-++++
cg03480383,II,16,"89,930,147",F,SPIRE2,0.0039,0.0011,3.67,0.0002,0.0107,1,0,+++++-+-++++++-+
cg08647652,II,17,"18,538,582",F,,0.0040,0.0011,3.67,0.0002,0.0107,0,0,+++-+---+++?+-++
cg26776656,II,19,"39,265,056",R,LGALS7,0.0037,0.0010,3.67,0.0002,0.0107,1,0,++-++++++++++++-
cg09238801,I,14,"74,179,101",R,PNMA1,-0.0062,0.0017,-3.67,0.0002,0.0107,0,0,--+----+-----+++
cg20715953,II,6,"27,802,817",R,,-0.0034,0.0009,-3.66,0.0002,0.0107,0,0,---------+--+---
cg21487261,II,17,"79,368,981",F,,0.0014,0.0004,3.66,0.0002,0.0107,0,0,+++-+-+--+++--+-
cg25115422,II,3,"156,894,451",R,,-0.0032,0.0009,-3.66,0.0002,0.0107,0,0,-------+-+---+--
cg15707869,II,8,"88,884,985",R,DCAF4L2,-0.0055,0.0015,-3.66,0.0002,0.0107,0,0,---+---+-+---+--
cg19604907,II,12,"50,444,723",F,,0.0026,0.0007,3.66,0.0002,0.0107,0,0,+++++++++++++-++
cg00573770,I,2,"145,278,485",F,ZEB2,-0.0107,0.0029,-3.66,0.0002,0.0107,0,0,----???-?--+----
cg00824767,II,10,"23,488,272",F,,0.0040,0.0011,3.66,0.0002,0.0107,0,0,+++-+-+-+++++-++
cg18537454,II,10,"22,623,213",F,,-0.0106,0.0029,-3.66,0.0002,0.0107,0,0,-----------+---+
cg03368358,II,17,"3,820,044",R,P2RX1,0.0030,0.0008,3.66,0.0002,0.0107,0,0,++++?+++--+?++-+
cg07504977,II,10,"102,131,012",R,,0.0081,0.0022,3.66,0.0002,0.0107,0,0,++-+++--+++++--+
cg13261623,II,17,"74,462,685",R,AANAT,-0.0021,0.0006,-3.66,0.0002,0.0107,0,0,-----+-+-+-+---+
cg19310148,II,7,"26,196,274",F,NFE2L3,-0.0021,0.0006,-3.66,0.0002,0.0107,1,0,---------+-----+
cg27627209,II,7,"129,913,258",R,CPA2,0.0022,0.0006,3.66,0.0002,0.0107,0,0,+++-++-++-++++++
cg24687747,II,1,"33,607,105",R,,0.0039,0.0011,3.66,0.0002,0.0107,0,0,++-++++++++-++++
cg12626242,II,11,"2,098,860",F,,-0.0034,0.0009,-3.66,0.0002,0.0107,0,0,-----+-----++---
cg15161667,II,11,"46,940,613",R,LRP4,-0.0043,0.0012,-3.66,0.0002,0.0107,0,0,--+--+-------+-+
cg07977153,II,11,"1,967,958",F,MRPL23,-0.0034,0.0009,-3.66,0.0002,0.0107,0,0,--+------+---+--
cg07546916,II,19,"51,231,840",F,,-0.0039,0.0011,-3.66,0.0002,0.0107,0,0,-------+--+--+++
cg17971578,II,1,"36,852,463",R,STK40,-0.0058,0.0016,-3.66,0.0002,0.0107,1,0,---+---+---+----
cg20556503,II,21,"46,349,095",F,ITGB2,-0.0025,0.0007,-3.66,0.0002,0.0107,0,0,-----+-+++---+-+
cg05133205,I,6,"32,121,249",R,PPT2,-0.0089,0.0024,-3.66,0.0002,0.0107,0,0,--++----------++
cg19997861,I,6,"31,526,079",R,NFKBIL1,-0.0087,0.0024,-3.66,0.0002,0.0107,0,0,---+---+--++-+--
cg22485289,II,20,"4,795,999",F,RASSF2,-0.0102,0.0028,-3.66,0.0002,0.0107,0,0,---+---+---?----
cg13950558,II,19,"45,683,263",F,BLOC1S3,-0.0064,0.0017,-3.66,0.0002,0.0108,0,0,---+-----+---+--
cg24049468,II,1,"65,615,281",R,AK3L1,0.0068,0.0018,3.66,0.0002,0.0108,0,0,+++++++-+++-+-++
cg16631083,II,21,"33,250,039",F,HUNK,0.0045,0.0012,3.66,0.0002,0.0108,0,0,++-++++-+++++--+
cg00506935,II,15,"89,169,262",R,AEN,-0.0026,0.0007,-3.66,0.0002,0.0108,0,0,---------+-++-+-
cg10706013,II,21,"44,104,950",F,PDE9A,-0.0024,0.0007,-3.66,0.0002,0.0108,0,0,-------+--+--+--
cg00475085,II,11,"60,674,473",F,PRPF19,-0.0026,0.0007,-3.66,0.0002,0.0108,0,0,-----++--+-+----
cg00661523,II,3,"151,985,426",F,MBNL1;LOC401093,-0.0050,0.0014,-3.66,0.0003,0.0108,0,0,-----------+-+-+
cg11485465,II,5,"54,518,469",R,,-0.0043,0.0012,-3.66,0.0003,0.0108,0,0,---------+-+-+-+
cg03962359,II,6,"154,166,263",R,,0.0043,0.0012,3.66,0.0003,0.0108,0,0,++-++-+++++++---
cg23185774,II,6,"36,972,163",F,FGD2,-0.0024,0.0007,-3.66,0.0003,0.0108,0,0,-----++-----++--
cg04342092,I,19,"58,095,468",R,ZIK1,-0.0009,0.0002,-3.66,0.0003,0.0108,0,0,----+--+-------+
cg08231710,I,1,"1,566,687",F,MMP23A;MMP23B,0.0058,0.0016,3.66,0.0003,0.0108,0,0,+++++-+++++++--+
cg21703988,II,12,"132,549,404",F,EP400,0.0032,0.0009,3.66,0.0003,0.0108,1,0,+++-++++++-++--+
cg14170999,I,17,"79,380,515",R,BAHCC1,-0.0135,0.0037,-3.66,0.0003,0.0108,0,0,--+----------+-+
cg26575622,II,10,"77,872,458",F,C10orf11,-0.0046,0.0012,-3.66,0.0003,0.0108,0,0,-------+---++---
cg10937131,II,8,"10,192,199",R,MSRA,0.0010,0.0003,3.66,0.0003,0.0108,0,0,+++++--+-++----+
cg14202146,II,10,"104,182,414",R,FBXL15,-0.0035,0.0010,-3.66,0.0003,0.0108,0,0,---+-+-+-------+
cg18900591,I,20,"50,419,193",F,SALL4,-0.0049,0.0013,-3.66,0.0003,0.0108,0,0,-------------+-+
cg09645475,II,20,"815,316",F,FAM110A,-0.0036,0.0010,-3.66,0.0003,0.0108,0,0,---------------+
cg17792740,II,10,"88,729,315",F,AGAP11;C10orf116,-0.0090,0.0025,-3.66,0.0003,0.0109,0,0,--+--------+-+--
cg05454076,II,2,"219,763,330",F,,-0.0036,0.0010,-3.66,0.0003,0.0109,0,0,----+---+------+
cg20012601,II,4,"141,013,584",R,MAML3,0.0061,0.0017,3.66,0.0003,0.0109,0,0,+++++++-+++-++-+
cg17986701,II,20,"44,574,422",F,PCIF1,0.0057,0.0016,3.66,0.0003,0.0109,0,0,-++++++++++--+++
cg04514047,II,5,"10,562,456",R,,0.0042,0.0011,3.66,0.0003,0.0109,0,0,+++-++-++?+-+-++
cg04329146,II,3,"32,996,372",F,CCR4,-0.0041,0.0011,-3.66,0.0003,0.0109,0,0,----------++----
cg23641108,II,6,"167,183,902",F,RPS6KA2,0.0053,0.0014,3.66,0.0003,0.0109,1,0,+++++++++++-++-+
cg22439641,II,7,"142,045,212",F,,0.0071,0.0019,3.66,0.0003,0.0109,0,0,++--+++++++++--+
cg01785359,II,8,"38,757,652",R,PLEKHA2,0.0030,0.0008,3.66,0.0003,0.0109,0,0,++++++++++--++++
cg14777903,II,3,"192,958,565",F,HRASLS;MGC2889,-0.0059,0.0016,-3.66,0.0003,0.0109,0,0,-----+--+--+-+-+
cg05458220,II,18,"77,866,647",F,ADNP2,0.0067,0.0018,3.66,0.0003,0.0109,0,0,++-++++-++++-+-+
cg14635955,II,7,"2,648,737",R,IQCE,0.0031,0.0009,3.66,0.0003,0.0109,0,0,++++++++++++--++
cg09023869,II,10,"49,699,321",F,ARHGAP22,0.0033,0.0009,3.66,0.0003,0.0109,1,0,+++-++--+++-++-+
cg08354093,I,20,"23,029,640",R,THBD,0.0018,0.0005,3.66,0.0003,0.0109,0,0,++-++++++++++-++
cg16889557,I,12,"50,426,531",R,,-0.0075,0.0020,-3.66,0.0003,0.0109,0,0,------------++--
cg09045681,II,6,"31,127,178",R,TCF19;CCHCR1,-0.0039,0.0011,-3.66,0.0003,0.0109,0,0,---+-+-----+----
cg02181506,II,14,"94,856,984",F,SERPINA1,-0.0038,0.0010,-3.66,0.0003,0.0109,0,0,---+---+--+?----
cg06737484,I,14,"96,972,280",R,PAPOLA,0.0033,0.0009,3.66,0.0003,0.0109,0,0,++++++++-++-++-+
cg05128922,II,12,"114,882,879",R,,0.0042,0.0011,3.66,0.0003,0.0109,0,0,+++++++++++++-++
cg18177183,II,10,"123,048,956",R,,-0.0105,0.0029,-3.66,0.0003,0.0109,0,0,-----??-----+---
cg05270224,II,1,"8,212,843",R,,0.0084,0.0023,3.66,0.0003,0.0109,0,0,++-+++++++++++-+
cg08273750,II,11,"2,011,282",R,LOC100133545,-0.0034,0.0009,-3.66,0.0003,0.0109,0,0,-----+-----+----
cg07892422,II,12,"54,333,323",F,HOXC13,0.0045,0.0012,3.66,0.0003,0.0109,0,0,+++++++++++-++-+
cg18672998,I,17,"1,157,306",F,,-0.0059,0.0016,-3.66,0.0003,0.0110,0,0,-------------+--
cg17819119,II,2,"97,526,497",F,SEMA4C,-0.0018,0.0005,-3.66,0.0003,0.0110,0,0,--+------+------
cg09411999,II,7,"27,214,383",F,HOXA10,0.0034,0.0009,3.66,0.0003,0.0110,0,0,+++++++-+-+-++++
cg25605174,II,1,"1,106,175",F,,0.0027,0.0007,3.66,0.0003,0.0110,0,0,++++++++++-+-+--
cg13123009,II,6,"31,681,882",R,LY6G6E;LY6G6D,-0.0031,0.0009,-3.66,0.0003,0.0110,0,0,-------+-+-+----
